id,number_of_rooms,corridor_area_ratio,largest_room_sunlight,largest_room_noise,largest_room_kitchen_distance,kitchen_sunlight,has_second_bathroom,bathroom_has_window,has_loggia,has_balcony
1007_4287_47b559fb4be816f88e73392012c14321,4.0,0.1400212453871276,0.4288051063673899,56.02878044330463,0.25,0.432793297701412,1,1,0,1
1007_4287_902385a2ac0017eea6edfd3e726e7538,3.0,0.0993804577432543,1.1792886728135568,58.70049817678485,0.5,1.294031740890608,0,1,0,1
1007_4288_1c8ba2b6c5a42aa3cad38495d5af2866,3.0,0.1006236157325255,1.1391423024200678,58.65741995456995,0.5,0.8867457028892299,0,1,0,1
1007_4288_567709ea165dd18d2747bd07a8bdaa55,3.0,0.1010301778316661,0.6164174838234315,44.2624379325378,0.25,0.8664787908395125,0,1,0,1
1007_4289_e6f95f01bfebdee697d79da3ef9bef71,3.0,0.1006236157325255,1.1984666587768906,58.57796516939805,0.5,0.9012011273039706,0,1,0,1
1007_4291_0b341ec6a9b9c69e8d8ec490e70f1a2d,3.0,0.1010301778316661,1.036373593142025,44.21222625217312,0.25,0.869933226042323,0,1,0,1
1008_4299_2f5886dcf72fd4d365c3b99ab8c217dc,4.0,0.1394060047581977,0.5402947188479202,52.14586984227595,0.25,0.2195581466787391,1,1,0,1
1008_4299_bc728339ce8083a1eafbcd11a0804ef0,3.0,0.1007907450496583,0.4030624216121548,52.03478637090582,0.5,0.8555141422483649,0,1,0,1
1008_4299_d3f1a594a41eb434ed34c496c2506e9f,3.0,0.1001146010671551,0.6145855706785324,32.12916994580975,0.25,0.8322023616896737,0,1,0,1
1008_4300_94b46ef42601df169df09337ddf73e2a,3.0,0.1000060705314482,0.4239664842824662,59.182705651384445,0.25,0.920632385545308,0,1,0,1
1008_4300_985f7aa1c59f8d584b39d6b6856fe3a4,4.0,0.1396585459591019,0.5906421337323265,49.69435603658582,0.75,0.2028354315294159,1,1,0,1
1008_4300_f226bb33e7c312fb27f1cd54e0b72f73,3.0,0.1006763025408838,0.6573437759516463,47.93688143141977,0.25,0.9092535492446688,0,1,0,1
1008_4301_35a122a3acdf7a8c5dd55d17d05d9ff9,3.0,0.1006763025408838,0.7225172808732384,47.9298967228155,0.25,0.9092535492446688,0,1,0,1
1008_4301_e93fa902de615d6136a1b7e93d254d36,3.0,0.1000060705314482,0.5485557919396086,59.16570257801208,0.25,0.920632385545308,0,1,0,1
1008_4303_1d440fdbb353e33c4dac5885d838d707,3.0,0.0989028695865494,0.9816521272645368,51.73279225383575,0.25,1.0931015776263344,0,1,0,1
1008_4303_ac9b37e98c4acaed608b271d7029a702,4.0,0.1403489937650251,0.7517032904513404,49.5522326972818,0.25,0.7149698146515421,1,1,0,1
1008_4303_b1a9e835ebfb1177d89af5b92904d2ff,4.0,0.1385545748901307,0.8449227391869439,52.12875465397487,0.25,0.5510454715953931,1,1,0,1
1008_4304_63eade52595cfd188601ad7425eaa58c,4.0,0.1385545748901307,0.870347517120294,52.11986663257495,0.25,0.5702526830136774,1,1,0,1
1008_4304_a16e4fb0f3e7d723a5496d6f6d5ecc7b,3.0,0.0991779573060923,1.2177477563959962,31.75979957953025,0.25,0.9623007236255544,0,1,0,1
1008_4304_a41466ed7967e62253c3005910884c9d,3.0,0.0989028695865494,1.2550940987061163,51.69925429646385,0.25,1.1005445983674793,0,1,0,1
1008_4305_5ab96c7fbe827a3ae3987190f64d6161,4.0,0.1385545748901307,0.8740987910860544,52.108124810525794,0.25,0.5748416946993935,1,1,0,1
1009_4349_a953983b442355362ba9cfbbd23c59c0,3.0,0.0754685613010713,0.8824702209302033,35.13501711110098,0.25,3.6389632754855694,0,0,1,1
1009_4349_aac8370e2e3efba6d236d489c57161ea,4.0,0.0767402500670861,0.4641985109581347,33.20537402480855,0.25,3.6120725406540775,0,0,1,1
1009_4352_6e21b379e29aa0170fb8349e0127f8b6,4.0,0.0767402500670861,1.068461391950543,33.187568793721326,0.25,3.709203417102497,0,0,1,1
100_48268_23a4c4121ffc42cd9fd2573dc35b3452,2.0,0.0791215547652137,0.3082091905736857,25.7740503388445,0.25,1.7715951568550523,0,1,0,1
100_48268_d7847da405ab6b1566a1316d9dca73e6,2.0,0.1112510124825387,0.3546941353293759,33.01355738071773,1.75,0.5587043625613052,0,1,0,0
100_48268_e40997fcefbe956828146d21c51a790c,3.0,0.1528488286515089,0.3636193765757942,30.327515033445824,0.25,1.564967653817601,1,1,0,1
100_48276_4e476db680ba6d97f0c86d69517367c8,3.0,0.1204701797347291,0.4646805745318004,33.7429418116401,1.5,0.6949013608197375,1,1,0,1
100_48276_558f456783feced917ec1b431e8af58f,4.0,0.1081968319265931,0.7753083808186296,13.6577698365966,0.25,0.7839824594557286,1,1,0,1
